Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
VSA_EState9,-1.670631148081467,-2.103240239585177,0.0,0.0,2.1970669829799676,0.02824888995010418,goed verschilletje hiero,82,nope,60
FractionCSP3,0.3092339598267392,0.28878799268117544,0.2916666666666667,0.2649122807017544,1.6852491809941605,0.09225533380623539,"nope, deze niet",82,nope,60
HeavyAtomCount,23.63948497854077,25.19333333333333,24.0,25.0,-4.146843936880821,3.6578251610200185e-05,goed verschilletje hiero,82,woow,60
NHOHCount,1.277056277056277,1.1879194630872483,1.0,1.0,1.3182652235966426,0.18772009912207935,"nope, deze niet",82,nope,60
NOCount,5.650429799426934,6.06,6.0,6.0,-2.991366763444181,0.0028457002438644534,goed verschilletje hiero,82,woow,60
NumAliphaticCarbocycles,0.10719530102790015,0.17346938775510204,0.0,0.0,-2.6894589272820064,0.007279250216273513,goed verschilletje hiero,82,woow,60
NumAliphaticHeterocycles,0.5028818443804035,0.5748299319727891,0.0,0.0,-1.6411606421642604,0.10108298634414878,"nope, deze niet",82,nope,60
NumAliphaticRings,0.6575144508670521,0.7993197278911565,1.0,1.0,-2.6787092594126602,0.007513900714833286,goed verschilletje hiero,82,woow,60
NumAromaticCarbocycles,1.2589413447782547,1.3466666666666667,1.0,1.0,-1.7236854523040683,0.0850746584540154,"nope, deze niet",82,nope,60
NumAromaticHeterocycles,0.8671428571428571,0.842809364548495,1.0,1.0,0.4308570705434516,0.6666654310494199,"nope, deze niet",82,nope,60
NumAromaticRings,2.121776504297994,2.2,2.0,2.0,-1.221767313075718,0.22208471784735795,"nope, deze niet",82,nope,60
NumHAcceptors,4.6552217453505005,5.107023411371237,5.0,5.0,-3.4619465804984264,0.0005590643986946533,goed verschilletje hiero,82,woow,60
NumHDonors,1.1548480463096962,1.0942760942760943,1.0,1.0,1.0576245952137484,0.29048566626843,"nope, deze niet",82,nope,60
NumHeteroatoms,6.553802008608321,7.110367892976589,7.0,7.0,-3.730446442305902,0.0002019585120546843,goed verschilletje hiero,82,woow,60
NumRotatableBonds,6.205164992826399,6.448160535117057,6.0,6.0,-1.33221116808457,0.1830961547714472,"nope, deze niet",82,nope,60
